ID_Institution,PIC
1352,951925991
1297,999847774
1556,998022137
1078,984024455
1100,999599939
1476,999986096
1130,999986096
1654,999991334
1193,998437006
1557,999807713
1648,953494190
1313,998437006
1657,999874934
1036,999482569
1161,997972861
1558,999818771
1037,919628968
1067,
1406,999835843
1011,994076080
1012,999497507
1013,999497507
1014,999497507
1033,999987454
1053,999839529
1089,999988230
1090,999619533
1093,999440083
1606,999835455
1495,997202390
1561,996530374
1094,996530374
1478,
1101,999981440
1103,888891539
1125,995572014
1126,999921300
1127,
1128,999994341
1129,952180616
1135,998072577
1142,986090458
1143,999507401
1144,999507401
1484,999839529
1187,994567870
1188,986128094
1189,999691992
1559,999981828
1191,952503626
1205,
1501,888898380
1234,999528256
1310,
1496,997836285
1323,997836285
1482,
1483,
1357,999981731
1560,999861257
1368,999981731
1372,968781972
1538,999987454
1398,999547462
1541,999858056
1419,999858056
1420,999905101
1552,999852430
1438,999852430
1544,999974747
1448,998927923
1515,999904034
1000,999904034
1513,999997736
1001,999997736
1003,999997736
1004,999997736
1030,972660420
1059,998595116
1060,999509438
1061,999509438
1062,
1605,999823427
1136,999823427
1473,
1359,999990655
1360,999990655
1361,999990655
1548,999991043
1403,999991043
1404,999991043
1562,999904616
1442,999904616
1479,
1356,999842536
1449,999895013
1015,999986484
1019,974250444
1025,
1026,999514385
1027,952786284
1503,952786284
1040,988504012
1043,999953019
1485,999510020
1049,999455312
1050,
1051,
1063,952545239
1077,
1079,
1604,
1082,997911363
1086,999630494
1118,
1493,997656835
1531,999822166
1566,
1133,
1146,958916490
1160,941752728
1162,925968015
1469,999506819
1492,999490717
1185,999822166
1508,905557857
1490,985718075
1487,905557857
1489,995786093
1282,
1284,974644458
1656,
1563,999976202
1494,999864846
1298,999864846
1300,998357563
1333,999474033
1334,
1486,999991722
1335,999991722
1336,999991722
1337,999991722
1338,999991722
1339,999991722
1520,999991722
1340,
1342,999773666
1488,999974844
1363,999974844
1364,958298212
1365,999567444
1366,998563785
1375,
1380,999976202
1381,999976202
1564,999629718
1386,999629718
1391,999986387
1392,999986387
1539,999855340
1399,999855340
1535,999880075
1402,999880075
1416,999895983
1565,999929739
1439,999829635
1440,999829635
1454,999865234
1534,999953019
1461,999953019
1462,999630494
1009,999994244
1607,
1474,999903355
1005,999903355
1095,999478010
1096,999476846
1097,999591306
1120,999432614
1567,999591888
1543,999994535
1421,999994535
1549,999844670
1433,999844670
1530,999903064
1459,999903064
1008,999809265
1601,954886237
1022,954886237
1044,999509050
1600,999630300
1048,999599163
1054,998142126
1069,997850350
1499,999926829
1080,
1081,998265122
1091,999644559
1102,897214208
1104,999997930
1498,999662310
1105,999450753
1106,999630300
1107,999630300
1108,999630300
1109,999630300
1110,999630300
1111,999630300
1112,999630300
1113,999630300
1114,999513803
1116,997336250
1653,999997930
1505,999997930
1155,999997930
1158,
1207,999997930
1208,974300496
1210,999578890
1211,999578890
1569,999822263
1613,999822748
1215,
1509,999875322
1218,999578890
1219,999997930
1220,999997930
1221,999997930
1222,999997930
1223,999997930
1224,999997930
1225,999997930
1226,999997930
1227,999997930
1228,999997930
1229,999997930
1230,999997930
1231,999997930
1246,997637629
1265,999457640
1283,949735440
1285,919761761
1655,999997930
1491,
1289,999986193
1480,986368945
1309,999509050
1332,999641940
1516,998265122
1536,999908205
1369,999513803
1400,998737124
1610,910186018
1570,999877553
1621,996569950
1446,996569950
1622,972682342
1452,955518483
1453,996758324
1568,996758324
1007,999935074
1572,999823815
1034,
1035,898797054
1045,888896781
1052,999975329
1533,999968927
1057,999440762
1065,888897847
1066,888897847
1068,
1070,997624340
1073,999738843
1076,999989200
1083,998712001
1084,998712001
1085,999985223
1603,888897847
1652,999493239
1088,999493239
1092,998867589
1145,999853400
1150,
1195,999612549
1197,997351867
1200,999835358
1209,999892685
1612,910670048
1518,913901409
1232,913901409
1523,952690060
1263,999989200
1264,898797054
1268,999985417
1271,
1274,
1286,998811620
1288,
1290,
1291,999484024
1292,999854661
1301,999992013
1302,999574428
1303,999992013
1304,999992013
1320,999738843
1645,918459536
1321,891431262
1322,999984253
1324,998448549
1329,999477234
1343,
1524,999862033
1349,999862033
1350,959408377
1661,973716265
1385,
1547,999975523
1542,999985611
1410,999985611
1664,999856989
1411,999856989
1525,999864555
1412,999864555
1540,999903743
1422,999903743
1427,999980567
1428,999980567
1571,999900639
1441,
1521,999984253
1443,999984253
1529,999852721
1444,999876389
1445,999517392
1551,999974068
1447,999974068
1132,998297908
1020,888888943
1137,999577532
1138,999577532
1139,999577532
1140,999577532
1141,
1163,925968015
1573,999828665
1618,999643007
1615,999653677
1249,999653677
1261,999978142
1481,999978142
1266,
1389,999643007
1620,999894528
1455,986152150
1477,
1149,
1168,997589032
1186,999876486
1267,
1316,999875031
1407,998812396
1408,998812396
1409,998812396
1574,999876486
1028,998469889
1046,
1047,999901415
1056,999595089
1058,998469889
1121,996559280
1122,996559280
1154,
1173,
1199,999522824
1248,
1262,999978045
1576,999978045
1575,999901415
1317,999978045
1318,999978045
1330,952690448
1348,997611148
1470,997611148
1383,999975717
1384,999975717
1546,999809071
1424,999809071
1024,937816177
1172,
1174,999657654
1577,
1152,
1153,
1511,969226426
1147,969226426
1151,999494209
1006,999625159
1021,
1055,997353225
1500,
1087,999419422
1119,
1134,
1156,997905349
1177,999988521
1179,999988521
1180,999988521
1502,999663668
1609,999992304
1181,999992304
1194,999866689
1204,
1206,906877736
1581,999641358
1237,999472675
1238,999472675
1239,999472675
1242,999992789
1243,999625644
1252,999979500
1254,999979500
1616,999979500
1255,999979500
1256,999979500
1257,999979500
1258,999979500
1259,999979500
1260,999979500
1272,
1273,
1579,
1497,
1307,
1331,
1344,999468310
1367,999939051
1578,
1555,999993953
1397,
1554,999841663
1401,
1634,
1413,999895789
1414,
1638,
1553,999855243
1431,
1528,888897003
1434,
1550,999734284
1435,
1580,
1437,
1460,999899281
1296,
1582,999533882
1583,
1098,
1159,
1184,999904422
1190,
1522,985074383
1532,888896929
1423,
1619,
1430,
1017,
1584,
1374,
1527,
1429,
1064,
1074,
1157,
1198,
1202,
1507,
1214,
1506,
1233,
1251,
1311,
1312,
1586,
1314,
1315,
1345,
1585,
1467,
1010,998425560
1016,999008225
1018,
1038,
1039,
1099,
1475,
1123,999466758
1131,966518477
1164,
1166,
1183,996641051
1589,
1269,963474423
1270,
1275,
1588,
1276,
1617,
1277,
1614,
1278,
1279,
1639,
1280,
1281,
1319,
1325,
1326,
1327,
1328,
1382,998225449
1545,
1393,
1394,
1395,
1396,
1432,
1456,
1457,
1458,
1466,
1115,
1201,997394450
1203,
1590,
1247,
1514,
1294,
1295,
1537,
1415,
1517,
1075,
1148,
1593,
1592,
1165,
1665,
1169,953379924
1608,999992983
1170,
1171,997223536
1192,
1504,
1611,910670048
1623,
1241,
1244,998850517
1245,
1299,
1305,
1358,
1370,
1591,
1387,
1388,
1390,
1425,
1426,
1436,
1450,998175688
1451,
1468,999543485
1031,
1235,
1240,
1023,
1124,995575991
1341,
1346,
1471,
1347,
1510,
1351,
1512,996675583
1353,
1354,
1355,
1373,
1599,999881821
1377,
1526,
1417,
1418,
1463,
1464,
1465,
1472,
1236,
1032,
1041,
1071,
1117,
1167,998331664
1175,
1176,
1182,
1595,999643492
1212,
1213,
1308,
1643,
1371,
1594,
1376,
1405,999851072
1216,
1029,
1519,997769161
1217,
1250,
1596,